公司名稱,網址,標籤資訊,品牌名稱,主要產品,攤位號碼
慶旺科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/E69011D5E67DAFB4C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=637,"AR/VR/MR/XR, SmartCity, UAV",ACME Portable Corp,伺服器,
所羅門股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/1757AE33CFEE836EC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=640,"AI, AI Service, AMR, AR/VR/MR/XR",SOLOMON,"機器人,機械手臂",
承啟科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5D9389E88E1BFF77C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=641,"AI, ESG, Gaming",Colorful,"個人電腦主機板,電腦機殼,電腦散熱裝置及風扇,顯示卡,動態隨機存取記憶體",
承羽智慧股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/61D79B554ACF90D4C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=642,"AI, AI Service, Cloud, DataCenter, SI",,AI伺服器,
承豐精密工業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/689AF881735545A6C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=643,"AI, AI Service, Gaming, SmartCity, SmartHome",WINNING,,
技嘉科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/8A5AAE337D582D76C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=644,"AI, AutonomousVehicles, DataCenter, EdgeComputing, Gaming, Liquidcooling",GIGABYTE,伺服器,
技軒股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/9B62EBFF40479B19C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=645,"AI, AI Service, BigData, EdgeComputing, Embedded",Microflex,"工業用電腦,工業用電腦主機板,人機介面",
技鋼科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/BC625C67D87D0F09C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=646,"BigData, Cloud, DataCenter, GenerativeAI, Liquidcooling",,伺服器,
拓氪斯科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/A75EC82C544CE67216AFB4F356442538D0636733C6861689/info.html?lt=data&vt=show-area&cr=648,"Gaming, GenerativeAI",TRYX,"電腦機殼,電腦散熱裝置及風扇",
振曜科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/77E5EAD76FFEDE72C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=649,"AI, SmartCity, SmartHome, SmartRetail",ZuniDATA,"電子紙,觸控顯示器及面板,網路交換器",
振樺電子股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/2634DC53E031A3FEC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=650,AI,POSIFLEX,銷售點管理系統,
振華電腦有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/774E7AD5B8CD6AC8C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=652,"AI, EdgeComputing, Gaming, HPC, SI",SUPER FLOWER,"電腦機殼,電腦電源,其他電腦零組件",
振躍精密滑軌股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/61445C015BC43183C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=653,"AI, AI Service, DataCenter",MARTAS,其他電腦零組件,
捷佳科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5232D4A3506606F6C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=654,"EnergyStorage, Security, SharedMobilityServices, SmartCar, e-bike",,,
捷毅國際股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/23A0CA9A90889920C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=656,"AI, EdgeComputing, Embedded, GenerativeAI, WiFi6E",Supermicro,崁入式系統及周邊,
捷波資訊股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/F8CA160809A299FFC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=657,"AI, EdgeComputing, Security, SmartCity, SmartRetail",JETWAY,嵌入式單板電腦,
捷濤有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/9E2AFD3CDE56C26EC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=658,SmartHome,EZCast,"IC設計、封裝及代工,電視接收器及機上盒,其他電腦周邊",
擷發科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/6717958463868678C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=660,"AI, EdgeComputing, Embedded, HPC, Semiconductor",Microip Inc.,"應用軟體,邊緣運算,AI伺服器",
政久興業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/37BD4424FCD0E4CEC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=662,"DataCenter, Embedded, Gaming, Liquidcooling",Top Motor,"散熱片及熱導管,崁入式系統及周邊,電腦散熱裝置及風扇",
敏寶實業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/15565F88EF3724B0C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=663,Gaming,ANACOMDA,動態隨機存取記憶體,
敘電能源股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/AEC060357759FE76C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=665,"Blockchain, SmartHome, SmartRetail, e-bike",FDK,"鋰電池及鋰離子電池,發光二極體",
敦泰電子股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/6C1ECF5085FC968CC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=667,"AR/VR/MR/XR, SmartCar, SmartCockpit",,"觸控IC,人機介面",
整合股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/E4EEA502C1035D82C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=668,other,RADISTAR,"其他電腦周邊,電腦架",
數位無限軟體股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/48C22027199B6597C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=669,"AI Service, DataCenter, GenerativeAI, HPC",INFINITIX,應用軟體,
斌遠實業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/D547E8EB883350DEC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=670,other,BinYuann,"其他自動化及智慧化設備,伺服器,崁入式系統及周邊,其他電腦零組件,網路儲存",
新加坡商希恩連接器有限公司 台灣分公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/AC9D9E7BE8C01019C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=671,"AI, AI Service, DataCenter, EV, GenerativeAI, Liquidcooling",CEJN,"AI 氣冷/水冷/液冷散熱系統,水冷式散熱系統",
新加坡商蓋茨優霓塔亞洲貿易股份有限公司台灣分公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/3E4CEADF14CCD0F8C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=675,"AI Service, DataCenter, Liquidcooling",Gates,"AI 氣冷/水冷/液冷散熱系統,液冷式散熱系統",
新基科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5B8712834301E891C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=679,"AV, Security, SmartHome",,"KVM線材及切換器,媒體轉換器,監控週邊配備,智慧商業服務",
新巨企業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/9BFA4D0DEF92C3D1C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=681,"AI, Cloud, HPC, Semiconductor, SmartCity",ZIPPY,,
新橋實業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5018F6432E351B6FC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=683,DataCenter,,其他網通產品,
新泰工業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/4C1D106AEF9DB515C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=684,ESG,CTi,其他網通產品,
新繹企業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5645D44A60DF73A9C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=685,other,,攝影機,
施耐德電機,https://www.computextaipei.com.tw/zh-tw/exhibitor/31BB8DF92F8EA2A10ED9BBB8CFEA711ED0636733C6861689/info.html?lt=data&vt=show-area&cr=688,,,.,
日昭電子股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/B3851D562FC9DF82C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=689,"Gaming, SI",CASECOM,電腦機殼,
日越電子有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/6ADB8C9AE9A849AEC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=690,"Embedded, other",,其他附加及介面卡,
早安股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5F5A50ECD4C4C33FC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=691,"B5G, SDGs, SmartCar, SmartHome, e-bike",Yellow Stone,發光二極體,
旭倉金屬企業有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/186501A8ADBFF2FCC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=692,"CyberSecurity, UAV, e-bike, other",SPROTEK,電腦維修工具組,
旭隼科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/CE6FF1C0D6EFB850C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=693,"ESG, EV, EnergyStorage, GreenTech, SmartHome",Voltronic Power,不斷電系統,
旺天電子股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/7AA4E7B70D035202C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=695,"6G, Drone, Embedded, SmartHome, UAV",Navisys,"工業用電腦,工業物聯網解決方案,全球定位系統,無人機",
昆盈企業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/09DB96A62536B4F0C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=696,"AI, Gaming",Genius,滑鼠,
昊宬股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/25FFB350B6DB80A3C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=699,"AR/VR/MR/XR, Gaming",AATC,"智慧穿戴裝置,耳機及無線藍牙耳機,麥克風,VR / AR / MR應用,VR / AR / MR眼鏡",
明基電通股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/95C073E0A5F1ABC6C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=700,"AI, Cloud, EdgeComputing, EnergyStorage, SmartRetail",BenQ,"投影機,觸控顯示器及面板,智慧商業服務",
明緯企業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/B7FD6492F07E71F3C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=703,"EV, EnergyStorage, GreenTech, Security",MEAN WELL,小型基地台,
明虹科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5B82DB3D6BE2B843C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=704,"6G, AI, DataCenter, SI, SmartCity",Ficer,光纖,
明達科研有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/1C170D3880F22E01C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=705,,"twin mask, imedtrack, megastek","全球定位系統,全球定位系統",
明風電子企業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/FCD7227CA4CE937AC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=706,EnergyStorage,PowerScan,不斷電系統,
星博電子股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/A4E3130DA2CB04BEC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=707,"6G, EV, Security, other",SINPRO,電源適配器,
星眾科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/B213F1BE8ED97EBBC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=708,"DataCenter, WiFi6E, WiFi7",,網路交換器,
映泰股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/DB1155712CDF4E33C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=710,"AI, EdgeComputing, Embedded, Gaming, GenerativeAI",BIOSTAR,,
昭營科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/A76F86AB6D053C45C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=711,"BigData, DataCenter, Embedded, SmartCity, SmartRetail",ICOP,"自動及工業控制器模組,準系統及迷你電腦,工業用電腦,崁入式系統及周邊",
昱樺科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/3F19C34B0E164C94C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=712,CyberSecurity,LANTECH,"路由器,無線存取點 / 橋接器,網路交換器",
昱鑫科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5D78E4CF09EB3849C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=713,"Embedded, other",KYOUJIN,崁入式系統及周邊,
晟銘電子科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/20C33D0A5C5EE1B3C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=715,"AI, Cloud, ESG, HPC",UNEEC,伺服器,
普立茲科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/8FB808CF4B8A3B5DC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=716,"AI, Cloud, ESG, Embedded, Gaming",,其他電腦零組件,
普維科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/3FB6A6B25FFAA888C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=717,"AI, AI Service, EdgeComputing, Security, SmartRetail",VAISense,邊緣運算,
普萊德科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/AA1C52370BB6B30FC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=718,"6G, AI, DataCenter, ESG, EdgeComputing",PLANET,"網路交換器,低功耗廣域網路模組",
普達系統股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/4D660F1C886F179AC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=719,"AI, ESG, GreenTech, SmartRetail",VariPOS,銷售點管理系統,
普鈦科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/C913A1BF385C7A02C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=720,"Embedded, LEO, Netzero, SATCOM, WiFi6E",KTI,"網路集線器,媒體轉換器,網路交換器,其他網通產品,光纖",
晶元科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/7F61F49F984D800EC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=721,AV,,"機械手臂,KVM線材及切換器,USB介面轉接頭、線材及集線器",
晶懋先進科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/C203A21B7EC205CDC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=723,"AI, AI Service",,桌上型電腦,
晶發科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5AE874E301532816C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=724,"AI, CyberSecurity, Gaming, Semiconductor, SmartCar",,崁入式系統及周邊,
晶翔機電股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/06B177340CA1FB4EC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=725,,"MOXi,MoTi,BikeSpark",智慧穿戴裝置,
晶英國際股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/69DF0685152051EBC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=726,"EnergyStorage, other",OXOPO,"鋰電池及鋰離子電池,其他電腦周邊",
晶豪科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5994DB24D4AA5F0AC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=727,"HPC, Semiconductor",ESMT,其他汽車電子,
晶達光電股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/A60C8E7223E3A012C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=728,"AI, Embedded, GreenTech, SmartCity, SmartRetail",Litemax,"發光二極體,電子紙,工業用電腦,崁入式系統及周邊,工業用電腦主機板,太陽能產品",
智微智能(香港)有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/7CE2EB2877841D9DB3E853C15EA402C6D0636733C6861689/info.html?lt=data&vt=show-area&cr=729,"Edge, Embedded, SmartRetail",,"工作站,準系統及迷你電腦,桌上型電腦,工業用電腦,工業用電腦主機板,個人電腦主機板,數位電子看板,工業平板電腦",
智愛科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/24EEECDF0F0D1A83C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=730,"AI, AI Service, EdgeComputing, Embedded",C&T,工業用電腦,
智能品光機電股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/90057DF796EC4D95C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=734,"AI, AutonomousVehicles, Embedded",iPin,光達,
智英科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/C4E24F6F413EC19DC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=735,other,,其他網通產品,
曜越科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/8EFB0D6F29BAA799C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=737,"Gaming, GenerativeAI, ImmersiveExperiences, VR",,"工作站,電腦機殼,電腦電源,電腦散熱裝置及風扇,電競桌上型電腦,AI 電腦散熱裝置及風扇,AI 氣冷/水冷/液冷散熱系統",
杰強國際有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/83B90AD9CFFB1D6EC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=743,other,J-POWER,耳機及無線藍牙耳機,
東森全球股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/E128C28F73F6B6B1C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=744,other,Eastern Global,電視壁掛架,
東碩資訊股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/13C645D371BF1342C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=745,"AI, AI Service, Cloud, Gaming, SmartHome",,USB介面轉接頭、線材及集線器,
東莞宜安科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/F5A47A9E4820D5708608BDEDC4383428D0636733C6861689/info.html?lt=data&vt=show-area&cr=746,QuantumComputing,,電腦機殼,
東莞市七友光電有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/298AF0C0FEB47C00E3FFE7E1A39FEBB7D0636733C6861689/info.html?lt=data&vt=show-area&cr=747,"BigData, GenerativeAI",,"其他電腦零組件,其他附加及介面卡,網路卡",
東莞市壹微電子科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/958F5AAE392D3C55E3FFE7E1A39FEBB7D0636733C6861689/info.html?lt=data&vt=show-area&cr=748,QuantumComputing,EWIN,"電腦機殼,電腦散熱裝置及風扇,外接硬碟",
東莞市宇洋電子有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/FA15535CF843D1B58608BDEDC4383428D0636733C6861689/info.html?lt=data&vt=show-area&cr=749,,,"行動電源,USB介面轉接頭、線材及集線器,USB-C 傳輸線/充電器/轉接頭/集線器",
東莞市思博四通實業有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/7C5B099B0A88F4A9EBAFA644770A47EED0636733C6861689/info.html?lt=data&vt=show-area&cr=750,SmartCity,JONSBO,"散熱片及熱導管,電腦機殼,電腦散熱裝置及風扇,其他電腦零組件,水冷式散熱系統",
東莞市拓倉電子有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/ACCEC9D9892917596AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=751,"Edge, Semiconductor",TCANG,"銷售點管理系統,多媒體機台,條碼讀取機,POS 配件,POS 印表機,行動 POS",
東莞市掬運五金科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/48F205DDF198D0FE16AFB4F356442538D0636733C6861689/info.html?lt=data&vt=show-area&cr=752,,,"散熱片及熱導管,電腦散熱裝置及風扇,散熱材料",
東莞市時代節點電子有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/26F114797DC7229FCAADCF7FDE6C69A7D0636733C6861689/info.html?lt=data&vt=show-area&cr=753,GenerativeAI,ERANODE,"其他電腦零組件,電腦鍵盤,滑鼠",
東莞市朗馳電子科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/298AF0C0FEB47C009FA5D07724A13ACCD0636733C6861689/info.html?lt=data&vt=show-area&cr=754,QuantumComputing,,數據機,
東莞市歐思科光電科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/41E6473DB5BAE03066B201C36669FF04D0636733C6861689/info.html?lt=data&vt=show-area&cr=756,GenerativeAI,OPSCO,"發光二極體,IC設計、封裝及代工,發光二極體顯示器模組,電競其他週邊",
東莞市沃通實業有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/6B10DC79A774283B6AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=757,"BigData, GenerativeAI",,"USB介面轉接頭、線材及集線器,藍牙傳輸器及接收器,USB-C 傳輸線/充電器/轉接頭/集線器",
東莞市清海電子科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/FE841FB2EAB3EBA4E3FFE7E1A39FEBB7D0636733C6861689/info.html?lt=data&vt=show-area&cr=758,GenerativeAI,,"電腦散熱裝置及風扇,其他附加及介面卡,電競其他週邊",
東莞市灃瑞電子科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/099BAC3EFA973DFD8608BDEDC4383428D0636733C6861689/info.html?lt=data&vt=show-area&cr=759,MaaS,ZIDLI,"電競耳機/耳機麥克風/麥克風,電競滑鼠,電競鍵盤,電競喇叭",
東莞市瑞亨電子科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/19B4A297E87FFCEE8608BDEDC4383428D0636733C6861689/info.html?lt=data&vt=show-area&cr=760,5G&Beyond,MHD 瑞亨,"電源適配器,電腦電源,快速充電技術",
東莞市碩一五金製品有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/DB9E2762613E072FEBAFA644770A47EED0636733C6861689/info.html?lt=data&vt=show-area&cr=762,"BigData, GenerativeAI",,"電腦機殼,電腦散熱裝置及風扇,其他電腦零組件",
東莞市索艾電子科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/324F32C56479028FC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=763,"BigData, GenerativeAI",,"電腦鍵盤,滑鼠,其他電腦周邊",
東莞市能者橡膠製品有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/AEC896E52CADA4819FA5D07724A13ACCD0636733C6861689/info.html?lt=data&vt=show-area&cr=765,AirMobility,PADMAT,其他電腦周邊,
東莞市腹靈競技電子有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/E6D6942F4EB7F1E86AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=766,Gaming,FL ESPORTS,"電競滑鼠,電競鍵盤",
東莞市般若電子科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/E1949DA8F87C64586AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=767,"QuantumComputing, Semiconductor",,"電腦鍵盤,滑鼠,藍牙鍵盤及滑鼠",
東莞市艾普達科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/C00C290DB733539A6AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=768,"BigData, ChatBot, DataCenter, GenerativeAI, QuantumComputing",,"平板電腦,筆記型電腦",
東莞市華銘騰科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/26F114797DC7229F6AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=769,Gaming,,筆記型電腦,
東莞市訊凌新科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/C74BABC173520C240ED9BBB8CFEA711ED0636733C6861689/info.html?lt=data&vt=show-area&cr=770,Cloud,icicleflow,"伺服器,PC liquid cooling",
東莞市迅陽實業有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/38168C32983AA4768608BDEDC4383428D0636733C6861689/info.html?lt=data&vt=show-area&cr=771,QuantumComputing,,"導熱膏 / 散熱膏,電腦散熱裝置及風扇",
東莞市銘冠電子科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/658F2BEDBC62A0E5C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=772,Gaming,Togran,"電競耳機/耳機麥克風/麥克風,電競滑鼠,電競鍵盤,鍵帽",
東莞市銘旺電子有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5F3A8C3E5900CAF6EBAFA644770A47EED0636733C6861689/info.html?lt=data&vt=show-area&cr=773,DataCenter,,"散熱片及熱導管,工業用電腦,電腦機殼,電腦散熱裝置及風扇,其他電腦零組件,水冷式散熱系統",
東莞市高特電子有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/95EFAB64D2139D710ED9BBB8CFEA711ED0636733C6861689/info.html?lt=data&vt=show-area&cr=774,QuantumComputing,,"滑鼠,藍牙鍵盤及滑鼠,鍵帽",
東莞清武電子科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/168C9717798F0C18EBAFA644770A47EED0636733C6861689/info.html?lt=data&vt=show-area&cr=776,GenerativeAI,,"銷售點管理系統,POS 配件,POS PC",
東麗電子有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/E759971CEF2984B1C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=777,"ESG, other",,其他電腦零組件,
柏仕達科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5A8B84D59B5DDE1DC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=778,"Embedded, SmartRetail",P2+,"崁入式系統及周邊,銷售點管理系統",
桓達科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/07A4A51D0A00AE29C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=780,"DataCenter, ESG, Liquidcooling",FINETEK,"其他感測器,AI 氣冷/水冷/液冷散熱系統,液冷式散熱系統,智慧醫療解決方案",
楷翔科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5814CD05EA619490C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=783,"EnergyStorage, Gaming, Liquidcooling",CRYORIG,"散熱片及熱導管,導熱膏 / 散熱膏,電腦機殼,電腦電源,電腦散熱裝置及風扇,其他電腦零組件",
欣技資訊股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5BC16484711CB2D9C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=784,"AI, SmartRetail, WiFi6E",CipherLab,,
欣美實業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/7485D2826A930658C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=785,"ESG, EnergyStorage, Security, other",,"電視壁掛架,其他電腦周邊",
歐普科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/B4937BE9B35F8710C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=787,"6G, AI, B5G, EdgeComputing, SI",Optech,低功耗廣域網路模組,
歐格電子股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/C0DFAFC7B38C3701C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=788,"AI Service, DataCenter, Embedded, other",AHOKU,"插座,電源適配器,崁入式系統及周邊,其他電腦周邊,工業物聯網解決方案",
